word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
it,it,PRON,260,48,Acura Integurl; At Your Best (You Are Love); Bad Religion; Be Yourself; Biking; Cayendo; Chanel; Crack Rock; DHL; End / Golden Girl; Forrest Gump; Futura Free; Godspeed; Good Guy; Higgs; In My Room; Ivy; Lens; Lost; Moon River; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Rushes; Seigfried; Self Control; Sierra Leone; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Sweet Life; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; american wedding; songs for women; strawberry swing,5.42,True,11
do,do,AUX,237,44,Acura Integurl; At Your Best (You Are Love); Bad Religion; Be Yourself; Biking; Cayendo; Chanel; Close to You; Crack Rock; DHL; End / Golden Girl; Futura Free; Godspeed; Good Guy; Higgs; In My Room; Ivy; Lost; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Provider; Rushes; Seigfried; Self Control; Sierra Leone; Solo; Solo (Reprise); Super Rich Kids; Sweet Life; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; american wedding; songs for women; strawberry swing; we all try,5.39,True,12
in,in,ADP,234,46,Acura Integurl; At Your Best (You Are Love); Bad Religion; Be Yourself; Biking; Chanel; Crack Rock; DHL; End / Golden Girl; Futura Free; Godspeed; Good Guy; Higgs; In My Room; Ivy; Lens; Lost; Moon River; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Provider; Pyramids; Rushes; Seigfried; Self Control; Sierra Leone; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Sweet Life; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; american wedding; songs for women; strawberry swing; we all try,5.09,True,13
that,that,PRON,208,41,Acura Integurl; Be Yourself; Biking; Chanel; Crack Rock; DHL; End / Golden Girl; Futura Free; Good Guy; Higgs; In My Room; Ivy; Lens; Moon River; Nights; Nikes; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Seigfried; Self Control; Sierra Leone; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Sweet Life; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; american wedding; songs for women; strawberry swing; we all try,5.07,True,14
on,on,ADP,205,37,Acura Integurl; Bad Religion; Be Yourself; Biking; Chanel; DHL; End / Golden Girl; Forrest Gump; Futura Free; Godspeed; Higgs; In My Room; Lens; Lost; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Rushes; Seigfried; Self Control; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Swim Good; Unity; White Ferrari; american wedding; strawberry swing; we all try,5.54,True,15
m,be,AUX,171,35,Acura Integurl; At Your Best (You Are Love); Biking; Chanel; DHL; End / Golden Girl; Forrest Gump; Futura Free; In My Room; Lens; Moon River; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Rushes; Seigfried; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; american wedding; songs for women; strawberry swing,4.89,True,16
like,like,ADP,154,38,Acura Integurl; At Your Best (You Are Love); Bad Religion; Be Yourself; Biking; Cayendo; Chanel; Close to You; DHL; End / Golden Girl; Futura Free; Good Guy; In My Room; Ivy; Lens; Lost; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pretty Sweet; Provider; Pyramids; Seigfried; Self Control; Sierra Leone; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Sweet Life; Swim Good; Thinkin Bout You; Trouble; Unity; songs for women,4.05,False,17
for,for,ADP,144,37,Acura Integurl; At Your Best (You Are Love); Bad Religion; Biking; Chanel; Crack Rock; DHL; End / Golden Girl; Forrest Gump; Futura Free; Godspeed; In My Room; Lens; Lost; Nights; Nikes; Novacane; Open Letter on Tumblr; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Rushes; Seigfried; Self Control; Sierra Leone; Solo; Solo (Reprise); Super Rich Kids; Swim Good; Trouble; Unity; White Ferrari; Wise Man; songs for women; strawberry swing,3.89,True,18
no,no,INTJ,138,34,Acura Integurl; At Your Best (You Are Love); Bad Religion; Cayendo; Chanel; Crack Rock; DHL; End / Golden Girl; Futura Free; Higgs; In My Room; Ivy; Lens; Lost; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Pyramids; Self Control; Sierra Leone; Solo; Solo (Reprise); Super Rich Kids; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; songs for women,4.06,True,19
of,of,ADP,135,40,Acura Integurl; At Your Best (You Are Love); Biking; Chanel; Close to You; Crack Rock; DHL; End / Golden Girl; Forrest Gump; Futura Free; Godspeed; Good Guy; Higgs; In My Room; Ivy; Lens; Lost; Nights; Nikes; Novacane; Open Letter on Tumblr; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Seigfried; Sierra Leone; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; american wedding; songs for women; strawberry swing,3.38,True,20
we,we,PRON,133,34,Acura Integurl; Close to You; DHL; End / Golden Girl; Futura Free; Godspeed; Higgs; Ivy; Lens; Moon River; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Pretty Sweet; Pyramids; Rushes; Seigfried; Self Control; Sierra Leone; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Thinkin Bout You; Unity; White Ferrari; american wedding; songs for women; strawberry swing; we all try,3.91,True,21
