word,total_count,episode_count,episodes
thing,726,61,"1x01:13,1x02:10,1x03:10,1x04:8,1x05:11,1x06:11,1x07:9,1x08:15,1x09:20,1x10:3,1x11:8,1x12:13,2x08:11,2x09:8,2x10:10,2x11:16,2x12:12,3x01:13,3x02:20,3x03:15,3x04:3,3x05:8,3x06:6,3x07:19,3x08:14,3x09:16,3x10:16,3x11:12,3x12:7,4x01:7,4x02:10,4x03:11,4x04:9,4x05:12,4x06:20,4x07:13,4x08:14,4x09:7,4x10:14,4x11:12,4x12:13,5x01:14,5x02:9,5x03:16,5x04:22,5x05:8,5x06:19,5x07:9,5x08:13,5x09:12,5x10:15,5x11:15,5x12:14,6x01:5,6x02:7,6x03:15,6x04:7,6x05:15,6x06:7,6x07:17,6x08:8"
time,627,61,"1x01:13,1x02:1,1x03:4,1x04:14,1x05:14,1x06:10,1x07:15,1x08:17,1x09:11,1x10:12,1x11:11,1x12:10,2x08:15,2x09:7,2x10:8,2x11:12,2x12:11,3x01:10,3x02:8,3x03:15,3x04:1,3x05:14,3x06:9,3x07:7,3x08:13,3x09:11,3x10:17,3x11:9,3x12:7,4x01:11,4x02:8,4x03:4,4x04:13,4x05:14,4x06:9,4x07:10,4x08:8,4x09:8,4x10:11,4x11:3,4x12:20,5x01:7,5x02:8,5x03:14,5x04:12,5x05:10,5x06:7,5x07:11,5x08:6,5x09:16,5x10:9,5x11:13,5x12:15,6x01:7,6x02:18,6x03:8,6x04:8,6x05:11,6x06:4,6x07:9,6x08:9"
need,624,60,"1x01:6,1x02:10,1x03:12,1x04:5,1x05:11,1x06:6,1x07:8,1x08:13,1x09:14,1x10:1,1x11:18,1x12:8,2x08:6,2x09:14,2x10:4,2x11:7,2x12:6,3x01:15,3x02:5,3x03:9,3x04:4,3x05:5,3x06:11,3x07:12,3x08:9,3x09:6,3x10:15,3x11:11,3x12:18,4x01:9,4x02:6,4x03:15,4x04:15,4x06:29,4x07:12,4x08:7,4x09:15,4x10:6,4x11:7,4x12:12,5x01:15,5x02:15,5x03:6,5x04:16,5x05:12,5x06:6,5x07:27,5x08:8,5x09:19,5x10:5,5x11:5,5x12:20,6x01:11,6x02:14,6x03:2,6x04:11,6x05:9,6x06:10,6x07:7,6x08:4"
would,608,60,"1x01:5,1x02:5,1x03:9,1x04:8,1x05:19,1x06:12,1x07:9,1x08:11,1x09:9,1x10:12,1x11:7,1x12:8,2x08:7,2x09:5,2x10:14,2x11:6,2x12:7,3x01:16,3x02:9,3x03:7,3x05:6,3x06:10,3x07:14,3x08:22,3x09:7,3x10:7,3x11:6,3x12:11,4x01:20,4x02:6,4x03:10,4x04:9,4x05:9,4x06:10,4x07:4,4x08:17,4x09:10,4x10:17,4x11:9,4x12:10,5x01:8,5x02:10,5x03:12,5x04:11,5x05:10,5x06:19,5x07:21,5x08:4,5x09:11,5x10:10,5x11:14,5x12:3,6x01:10,6x02:9,6x03:9,6x04:9,6x05:10,6x06:16,6x07:8,6x08:5"
really,592,60,"1x01:12,1x02:14,1x03:13,1x04:14,1x05:9,1x06:8,1x07:12,1x08:9,1x09:13,1x10:20,1x11:6,1x12:11,2x08:10,2x09:11,2x10:10,2x11:17,2x12:15,3x01:6,3x02:11,3x03:7,3x05:9,3x06:14,3x07:6,3x08:10,3x09:9,3x10:12,3x11:16,3x12:15,4x01:14,4x02:2,4x03:9,4x04:11,4x05:11,4x06:12,4x07:9,4x08:11,4x09:9,4x10:5,4x11:7,4x12:10,5x01:5,5x02:10,5x03:6,5x04:9,5x05:8,5x06:10,5x07:8,5x08:11,5x09:15,5x10:10,5x11:6,5x12:11,6x01:7,6x02:5,6x03:6,6x04:4,6x05:11,6x06:6,6x07:5,6x08:10"
tell,576,61,"1x01:9,1x02:11,1x03:8,1x04:6,1x05:6,1x06:8,1x07:4,1x08:10,1x09:10,1x10:8,1x11:16,1x12:8,2x08:15,2x09:9,2x10:4,2x11:15,2x12:7,3x01:15,3x02:7,3x03:8,3x04:1,3x05:7,3x06:7,3x07:13,3x08:13,3x09:9,3x10:11,3x11:9,3x12:9,4x01:11,4x02:6,4x03:12,4x04:15,4x05:14,4x06:6,4x07:4,4x08:17,4x09:18,4x10:5,4x11:7,4x12:15,5x01:9,5x02:13,5x03:14,5x04:3,5x05:7,5x06:6,5x07:19,5x08:7,5x09:7,5x10:9,5x11:15,5x12:9,6x01:7,6x02:9,6x03:6,6x04:10,6x05:8,6x06:6,6x07:7,6x08:12"
see,546,60,"1x01:12,1x02:4,1x03:7,1x04:11,1x05:9,1x06:10,1x07:10,1x08:13,1x09:12,1x10:18,1x11:10,1x12:8,2x08:7,2x09:8,2x10:3,2x11:12,2x12:9,3x01:7,3x02:6,3x03:12,3x05:9,3x06:3,3x07:16,3x08:5,3x09:7,3x10:10,3x11:14,3x12:7,4x01:11,4x02:8,4x03:10,4x04:9,4x05:7,4x06:8,4x07:5,4x08:6,4x09:5,4x10:8,4x11:7,4x12:7,5x01:12,5x02:9,5x03:10,5x04:12,5x05:7,5x06:23,5x07:11,5x08:11,5x09:15,5x10:9,5x11:7,5x12:8,6x01:7,6x02:8,6x03:8,6x04:9,6x05:4,6x06:8,6x07:2,6x08:16"
take,545,60,"1x01:13,1x02:10,1x03:17,1x04:7,1x05:12,1x06:7,1x07:11,1x08:11,1x09:12,1x10:6,1x11:12,1x12:10,2x08:1,2x09:6,2x10:9,2x11:15,2x12:10,3x01:8,3x02:12,3x03:10,3x05:9,3x06:4,3x07:8,3x08:5,3x09:2,3x10:9,3x11:7,3x12:5,4x01:3,4x02:5,4x03:16,4x04:9,4x05:7,4x06:10,4x07:6,4x08:13,4x09:8,4x10:10,4x11:14,4x12:7,5x01:11,5x02:6,5x03:8,5x04:13,5x05:10,5x06:6,5x07:15,5x08:6,5x09:11,5x10:10,5x11:9,5x12:10,6x01:7,6x02:14,6x03:9,6x04:3,6x05:9,6x06:7,6x07:15,6x08:10"
come,540,60,"1x01:3,1x02:10,1x03:7,1x04:8,1x05:22,1x06:4,1x07:8,1x08:9,1x09:11,1x10:5,1x11:14,1x12:8,2x08:8,2x09:10,2x10:13,2x11:14,2x12:10,3x01:13,3x02:3,3x03:13,3x05:13,3x06:5,3x07:5,3x08:9,3x09:6,3x10:12,3x11:9,3x12:10,4x01:3,4x02:6,4x03:13,4x04:10,4x05:11,4x06:3,4x07:8,4x08:11,4x09:5,4x10:3,4x11:8,4x12:6,5x01:10,5x02:16,5x03:7,5x04:6,5x05:15,5x06:5,5x07:15,5x08:7,5x09:10,5x10:22,5x11:12,5x12:5,6x01:11,6x02:11,6x03:3,6x04:7,6x05:5,6x06:9,6x07:8,6x08:7"
could,498,60,"1x01:6,1x02:6,1x03:8,1x04:10,1x05:7,1x06:5,1x07:10,1x08:6,1x09:8,1x10:6,1x11:7,1x12:5,2x08:10,2x09:10,2x10:8,2x11:7,2x12:6,3x01:12,3x02:10,3x03:3,3x05:7,3x06:5,3x07:8,3x08:11,3x09:3,3x10:11,3x11:9,3x12:6,4x01:10,4x02:6,4x03:5,4x04:8,4x05:10,4x06:7,4x07:10,4x08:13,4x09:14,4x10:9,4x11:12,4x12:18,5x01:7,5x02:9,5x03:16,5x04:2,5x05:6,5x06:13,5x07:14,5x08:6,5x09:10,5x10:7,5x11:7,5x12:5,6x01:8,6x02:7,6x03:8,6x04:8,6x05:13,6x06:4,6x07:6,6x08:10"
look,487,60,"1x01:12,1x02:9,1x03:4,1x04:7,1x05:15,1x06:4,1x07:7,1x08:14,1x09:6,1x10:7,1x11:1,1x12:8,2x08:5,2x09:10,2x10:7,2x11:4,2x12:8,3x01:8,3x02:2,3x03:10,3x05:6,3x06:7,3x07:9,3x08:13,3x09:6,3x10:7,3x11:7,3x12:10,4x01:7,4x02:12,4x03:13,4x04:9,4x05:6,4x06:15,4x07:5,4x08:8,4x09:10,4x10:9,4x11:11,4x12:11,5x01:18,5x02:10,5x03:10,5x04:4,5x05:3,5x06:11,5x07:5,5x08:7,5x09:7,5x10:4,5x11:6,5x12:13,6x01:11,6x02:10,6x03:10,6x04:3,6x05:4,6x06:5,6x07:12,6x08:5"
love,464,61,"1x01:4,1x02:4,1x03:6,1x04:2,1x05:3,1x06:12,1x07:14,1x08:5,1x09:8,1x10:12,1x11:12,1x12:7,2x08:8,2x09:5,2x10:10,2x11:5,2x12:15,3x01:8,3x02:10,3x03:2,3x04:1,3x05:23,3x06:10,3x07:4,3x08:10,3x09:10,3x10:3,3x11:5,3x12:5,4x01:6,4x02:4,4x03:8,4x04:10,4x05:6,4x06:12,4x07:7,4x08:15,4x09:9,4x10:2,4x11:3,4x12:6,5x01:8,5x02:8,5x03:4,5x04:8,5x05:15,5x06:4,5x07:1,5x08:16,5x09:5,5x10:9,5x11:3,5x12:8,6x01:6,6x02:11,6x03:9,6x04:6,6x05:9,6x06:7,6x07:9,6x08:7"
let,452,60,"1x01:8,1x02:6,1x03:12,1x04:11,1x05:6,1x06:2,1x07:5,1x08:9,1x09:9,1x10:13,1x11:8,1x12:11,2x08:15,2x09:8,2x10:9,2x11:8,2x12:7,3x01:4,3x02:8,3x03:7,3x05:13,3x06:7,3x07:3,3x08:6,3x09:6,3x10:11,3x11:9,3x12:4,4x01:6,4x02:14,4x03:3,4x04:11,4x05:6,4x06:1,4x07:13,4x08:7,4x09:7,4x10:4,4x11:6,4x12:5,5x01:4,5x02:8,5x03:3,5x04:9,5x05:7,5x06:8,5x07:14,5x08:6,5x09:7,5x10:10,5x11:5,5x12:10,6x01:6,6x02:7,6x03:6,6x04:3,6x05:6,6x06:8,6x07:7,6x08:10"
show,445,60,"1x01:8,1x02:9,1x03:6,1x04:7,1x05:8,1x06:4,1x07:3,1x08:19,1x09:3,1x10:4,1x11:2,1x12:5,2x08:11,2x09:7,2x10:4,2x11:8,2x12:8,3x01:16,3x02:26,3x03:8,3x05:6,3x06:7,3x07:2,3x08:10,3x09:5,3x10:3,3x11:7,3x12:9,4x01:3,4x02:2,4x03:7,4x04:4,4x05:7,4x06:5,4x07:5,4x08:6,4x09:2,4x10:12,4x11:2,4x12:3,5x01:22,5x02:2,5x03:4,5x04:24,5x05:7,5x06:21,5x07:5,5x08:4,5x09:3,5x10:17,5x11:17,5x12:7,6x01:6,6x02:10,6x03:1,6x04:1,6x05:9,6x06:2,6x07:8,6x08:2"
talk,443,61,"1x01:8,1x02:6,1x03:5,1x04:4,1x05:3,1x06:7,1x07:7,1x08:14,1x09:9,1x10:18,1x11:2,1x12:5,2x08:4,2x09:9,2x10:11,2x11:4,2x12:3,3x01:10,3x02:6,3x03:5,3x04:3,3x05:11,3x06:7,3x07:11,3x08:11,3x09:8,3x10:6,3x11:12,3x12:3,4x01:3,4x02:1,4x03:10,4x04:11,4x05:6,4x06:10,4x07:4,4x08:4,4x09:6,4x10:7,4x11:6,4x12:15,5x01:10,5x02:8,5x03:2,5x04:10,5x05:6,5x06:8,5x07:20,5x08:11,5x09:8,5x10:6,5x11:6,5x12:13,6x01:3,6x02:5,6x03:5,6x04:9,6x05:4,6x06:6,6x07:3,6x08:5"
mean,421,61,"1x01:7,1x02:5,1x03:4,1x04:13,1x05:6,1x06:8,1x07:1,1x08:7,1x09:8,1x10:12,1x11:3,1x12:7,2x08:10,2x09:5,2x10:9,2x11:6,2x12:6,3x01:9,3x02:4,3x03:7,3x04:2,3x05:16,3x06:5,3x07:3,3x08:5,3x09:9,3x10:6,3x11:8,3x12:5,4x01:8,4x02:1,4x03:4,4x04:3,4x05:7,4x06:10,4x07:4,4x08:7,4x09:5,4x10:6,4x11:3,4x12:5,5x01:8,5x02:16,5x03:8,5x04:5,5x05:8,5x06:13,5x07:6,5x08:14,5x09:7,5x10:10,5x11:4,5x12:3,6x01:7,6x02:9,6x03:6,6x04:5,6x05:6,6x06:8,6x07:5,6x08:14"
call,404,60,"1x01:9,1x02:10,1x03:7,1x04:5,1x05:11,1x06:10,1x07:7,1x08:8,1x09:5,1x10:4,1x11:1,1x12:8,2x08:3,2x09:6,2x10:5,2x11:7,2x12:8,3x01:9,3x02:11,3x03:16,3x05:9,3x06:3,3x07:7,3x08:13,3x09:2,3x10:8,3x11:5,3x12:3,4x01:7,4x02:3,4x03:6,4x04:15,4x05:11,4x06:3,4x07:5,4x08:6,4x09:10,4x10:8,4x11:2,4x12:6,5x01:7,5x02:8,5x03:5,5x04:7,5x05:11,5x06:6,5x07:1,5x08:4,5x09:12,5x10:3,5x11:8,5x12:9,6x01:5,6x02:8,6x03:5,6x04:3,6x05:3,6x06:4,6x07:3,6x08:10"
