word,shows,show_count
appear,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
appearance,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
apple,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
application,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
apply,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
appointment,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
appreciate,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
approach,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
appropriate,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
approve,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
area,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
argue,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
arm,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
around,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
arrange,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
arrest,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
arrive,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
art,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
artist,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
ash,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
ashamed,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
aside,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
ask,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
asleep,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
ass,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
assault,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
assign,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
associate,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
assume,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
assure,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
attach,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
attack,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
attempt,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
attention,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
attitude,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
authority,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
available,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
average,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
avoid,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
await,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
awake,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
aware,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
