word,total_count,episode_count,episodes
say,1338,95,"1x01:21,1x02:16,1x03:9,1x04:9,1x05:9,1x06:10,1x07:17,1x08:8,1x09:15,1x10:14,1x11:15,1x12:11,2x01:12,2x02:12,2x03:5,2x04:13,2x05:18,2x06:31,2x07:19,2x08:18,2x09:10,2x10:16,2x11:11,2x12:13,3x01:15,3x02:7,3x03:14,3x04:19,3x05:10,3x06:9,3x07:10,3x08:17,3x09:12,3x10:19,3x11:7,3x12:12,4x01:12,4x02:10,4x03:12,4x04:13,4x05:17,4x06:15,4x07:8,4x08:10,4x09:18,4x10:9,4x11:12,4x12:12,5x01:26,5x02:20,5x03:18,5x04:15,5x05:12,5x06:13,5x07:13,5x08:9,5x09:25,5x10:12,5x11:12,5x12:24,6x01:7,6x02:22,6x03:10,6x04:28,6x05:12,6x06:13,6x07:11,6x08:26,6x09:15,6x10:11,6x11:11,6x12:11,7x01:10,7x02:17,7x03:20,7x04:8,7x05:11,7x06:20,7x07:14,7x08:14,7x09:13,7x10:20,7x11:18,7x12:20,8x01:11,8x02:16,8x03:12,8x05:11,8x06:10,8x07:7,8x08:13,8x09:17,8x10:16,8x11:15,8x12:18"
come,1311,96,"1x01:10,1x02:15,1x03:13,1x04:20,1x05:7,1x06:20,1x07:19,1x08:22,1x09:17,1x10:16,1x11:17,1x12:7,2x01:10,2x02:10,2x03:6,2x04:16,2x05:16,2x06:16,2x07:15,2x08:13,2x09:16,2x10:17,2x11:14,2x12:12,3x01:14,3x02:9,3x03:13,3x04:25,3x05:9,3x06:16,3x07:13,3x08:6,3x09:9,3x10:21,3x11:10,3x12:15,4x01:11,4x02:19,4x03:17,4x04:10,4x05:12,4x06:13,4x07:9,4x08:15,4x09:21,4x10:11,4x11:14,4x12:10,5x01:13,5x02:11,5x03:7,5x04:10,5x05:10,5x06:6,5x07:13,5x08:16,5x09:21,5x10:13,5x11:17,5x12:13,6x01:12,6x02:24,6x03:9,6x04:17,6x05:12,6x06:15,6x07:16,6x08:20,6x09:8,6x10:10,6x11:13,6x12:4,7x01:11,7x02:16,7x03:7,7x04:14,7x05:9,7x06:16,7x07:15,7x08:16,7x09:13,7x10:22,7x11:11,7x12:15,8x01:21,8x02:18,8x03:7,8x04:1,8x05:9,8x06:10,8x07:22,8x08:19,8x09:15,8x10:15,8x11:25,8x12:8"
fuck,1280,96,"1x01:11,1x02:14,1x03:21,1x04:11,1x05:7,1x06:6,1x07:17,1x08:9,1x09:11,1x10:10,1x11:7,1x12:14,2x01:16,2x02:16,2x03:7,2x04:7,2x05:12,2x06:12,2x07:13,2x08:7,2x09:19,2x10:14,2x11:7,2x12:11,3x01:9,3x02:10,3x03:10,3x04:19,3x05:10,3x06:13,3x07:12,3x08:17,3x09:14,3x10:9,3x11:12,3x12:16,4x01:10,4x02:14,4x03:15,4x04:8,4x05:6,4x06:11,4x07:13,4x08:15,4x09:13,4x10:14,4x11:12,4x12:21,5x01:13,5x02:11,5x03:13,5x04:10,5x05:16,5x06:9,5x07:9,5x08:10,5x09:14,5x10:12,5x11:13,5x12:9,6x01:7,6x02:15,6x03:15,6x04:8,6x05:10,6x06:15,6x07:8,6x08:12,6x09:10,6x10:19,6x11:20,6x12:13,7x01:16,7x02:33,7x03:22,7x04:27,7x05:24,7x06:11,7x07:16,7x08:27,7x09:14,7x10:12,7x11:16,7x12:19,8x01:33,8x02:16,8x03:19,8x04:1,8x05:5,8x06:18,8x07:19,8x08:24,8x09:9,8x10:3,8x11:18,8x12:5"
make,1277,95,"1x01:10,1x02:8,1x03:13,1x04:15,1x05:7,1x06:11,1x07:14,1x08:18,1x09:10,1x10:15,1x11:15,1x12:9,2x01:9,2x02:9,2x03:13,2x04:19,2x05:8,2x06:20,2x07:14,2x08:13,2x09:14,2x10:9,2x11:12,2x12:12,3x01:13,3x02:14,3x03:10,3x04:18,3x05:20,3x06:17,3x07:14,3x08:26,3x09:9,3x10:9,3x11:8,3x12:6,4x01:11,4x02:12,4x03:14,4x04:8,4x05:15,4x06:15,4x07:11,4x08:20,4x09:9,4x10:10,4x11:12,4x12:12,5x01:7,5x02:17,5x03:10,5x04:3,5x05:10,5x06:9,5x07:13,5x08:18,5x09:14,5x10:12,5x11:19,5x12:14,6x01:20,6x02:19,6x03:18,6x04:21,6x05:13,6x06:13,6x07:15,6x08:16,6x09:13,6x10:17,6x11:13,6x12:12,7x01:15,7x02:13,7x03:13,7x04:16,7x05:11,7x06:17,7x07:11,7x08:13,7x09:11,7x10:12,7x11:16,7x12:17,8x01:14,8x02:20,8x03:12,8x05:14,8x06:15,8x07:23,8x08:12,8x09:14,8x10:15,8x11:14,8x12:13"
see,1267,95,"1x01:9,1x02:20,1x03:21,1x04:21,1x05:7,1x06:16,1x07:11,1x08:14,1x09:14,1x10:16,1x11:19,1x12:13,2x01:9,2x02:9,2x03:11,2x04:15,2x05:12,2x06:14,2x07:13,2x08:15,2x09:22,2x10:7,2x11:12,2x12:13,3x01:8,3x02:20,3x03:12,3x04:15,3x05:10,3x06:20,3x07:19,3x08:11,3x09:9,3x10:14,3x11:12,3x12:12,4x01:12,4x02:9,4x03:6,4x04:8,4x05:16,4x06:16,4x07:12,4x08:8,4x09:12,4x10:14,4x11:9,4x12:8,5x01:9,5x02:14,5x03:11,5x04:10,5x05:19,5x06:16,5x07:13,5x08:15,5x09:13,5x10:9,5x11:13,5x12:10,6x01:9,6x02:19,6x03:7,6x04:16,6x05:20,6x06:15,6x07:17,6x08:17,6x09:14,6x10:13,6x11:5,6x12:8,7x01:13,7x02:13,7x03:5,7x04:8,7x05:7,7x06:17,7x07:12,7x08:17,7x09:19,7x10:19,7x11:9,7x12:16,8x01:10,8x02:13,8x03:11,8x05:17,8x06:18,8x07:22,8x08:17,8x09:13,8x10:17,8x11:20,8x12:17"
tell,1193,95,"1x01:13,1x02:16,1x03:14,1x04:18,1x05:8,1x06:12,1x07:14,1x08:18,1x09:9,1x10:21,1x11:18,1x12:9,2x01:11,2x02:11,2x03:15,2x04:19,2x05:14,2x06:30,2x07:17,2x08:10,2x09:13,2x10:10,2x11:8,2x12:4,3x01:11,3x02:7,3x03:11,3x04:21,3x05:8,3x06:12,3x07:18,3x08:16,3x09:15,3x10:21,3x11:11,3x12:10,4x01:13,4x02:8,4x03:5,4x04:9,4x05:9,4x06:24,4x07:5,4x08:10,4x09:17,4x10:10,4x11:15,4x12:7,5x01:21,5x02:14,5x03:10,5x04:9,5x05:15,5x06:8,5x07:6,5x08:14,5x09:43,5x10:17,5x11:13,5x12:17,6x01:4,6x02:11,6x03:9,6x04:10,6x05:7,6x06:22,6x07:12,6x08:19,6x09:10,6x10:11,6x11:6,6x12:4,7x01:6,7x02:14,7x03:8,7x04:4,7x05:10,7x06:10,7x07:12,7x08:15,7x09:8,7x10:15,7x11:18,7x12:12,8x01:13,8x02:16,8x03:13,8x05:1,8x06:18,8x07:14,8x08:6,8x09:13,8x10:14,8x11:6,8x12:10"
find,1159,96,"1x01:12,1x02:16,1x03:16,1x04:12,1x05:12,1x06:13,1x07:16,1x08:10,1x09:10,1x10:7,1x11:14,1x12:23,2x01:15,2x02:15,2x03:14,2x04:13,2x05:14,2x06:14,2x07:10,2x08:9,2x09:11,2x10:11,2x11:11,2x12:9,3x01:6,3x02:16,3x03:10,3x04:12,3x05:13,3x06:11,3x07:11,3x08:8,3x09:13,3x10:11,3x11:10,3x12:7,4x01:6,4x02:23,4x03:10,4x04:8,4x05:10,4x06:7,4x07:8,4x08:8,4x09:8,4x10:17,4x11:7,4x12:15,5x01:14,5x02:10,5x03:9,5x04:6,5x05:15,5x06:12,5x07:20,5x08:9,5x09:9,5x10:7,5x11:15,5x12:12,6x01:10,6x02:13,6x03:8,6x04:8,6x05:20,6x06:13,6x07:12,6x08:13,6x09:12,6x10:21,6x11:15,6x12:5,7x01:11,7x02:14,7x03:18,7x04:10,7x05:18,7x06:11,7x07:14,7x08:11,7x09:20,7x10:13,7x11:16,7x12:12,8x01:18,8x02:16,8x03:11,8x04:1,8x05:13,8x06:12,8x07:12,8x08:10,8x09:20,8x10:8,8x11:12,8x12:8"
time,1151,95,"1x01:11,1x02:17,1x03:13,1x04:16,1x05:5,1x06:24,1x07:14,1x08:24,1x09:9,1x10:11,1x11:20,1x12:17,2x01:12,2x02:12,2x03:7,2x04:12,2x05:13,2x06:24,2x07:10,2x08:10,2x09:9,2x10:11,2x11:10,2x12:11,3x01:11,3x02:10,3x03:12,3x04:10,3x05:17,3x06:14,3x07:13,3x08:9,3x09:8,3x10:14,3x11:7,3x12:11,4x01:18,4x02:16,4x03:10,4x04:13,4x05:14,4x06:14,4x07:14,4x08:10,4x09:7,4x10:13,4x11:4,4x12:10,5x01:7,5x02:15,5x03:9,5x04:10,5x05:11,5x06:15,5x07:10,5x08:14,5x09:16,5x10:14,5x11:13,5x12:9,6x01:12,6x02:7,6x03:10,6x04:8,6x05:10,6x06:11,6x07:10,6x08:16,6x09:8,6x10:17,6x11:11,6x12:10,7x01:8,7x02:10,7x03:14,7x04:7,7x05:15,7x06:14,7x07:15,7x08:21,7x09:9,7x10:8,7x11:16,7x12:9,8x01:8,8x02:9,8x03:11,8x05:14,8x06:15,8x07:7,8x08:4,8x09:17,8x10:17,8x11:14,8x12:15"
would,1149,95,"1x01:8,1x02:8,1x03:10,1x04:15,1x05:10,1x06:15,1x07:11,1x08:14,1x09:14,1x10:7,1x11:12,1x12:12,2x01:7,2x02:7,2x03:10,2x04:7,2x05:6,2x06:17,2x07:5,2x08:17,2x09:9,2x10:21,2x11:13,2x12:9,3x01:6,3x02:12,3x03:9,3x04:16,3x05:15,3x06:13,3x07:13,3x08:14,3x09:12,3x10:17,3x11:8,3x12:11,4x01:11,4x02:5,4x03:16,4x04:9,4x05:12,4x06:12,4x07:9,4x08:8,4x09:8,4x10:6,4x11:6,4x12:4,5x01:10,5x02:12,5x03:15,5x04:15,5x05:10,5x06:20,5x07:6,5x08:12,5x09:6,5x10:10,5x11:10,5x12:10,6x01:12,6x02:21,6x03:7,6x04:11,6x05:7,6x06:15,6x07:20,6x08:8,6x09:15,6x10:13,6x11:16,6x12:3,7x01:13,7x02:16,7x03:18,7x04:15,7x05:17,7x06:14,7x07:17,7x08:16,7x09:18,7x10:15,7x11:27,7x12:10,8x01:13,8x02:12,8x03:6,8x05:11,8x06:16,8x07:18,8x08:14,8x09:23,8x10:19,8x11:9,8x12:12"
kill,1148,94,"1x01:5,1x02:11,1x03:13,1x04:7,1x05:7,1x06:9,1x07:13,1x08:12,1x09:3,1x10:2,1x12:11,2x01:14,2x02:14,2x03:3,2x04:12,2x05:10,2x06:17,2x07:5,2x08:11,2x09:9,2x10:14,2x11:6,2x12:4,3x01:11,3x02:14,3x03:21,3x04:8,3x05:4,3x06:6,3x07:7,3x08:12,3x09:4,3x10:6,3x11:13,3x12:7,4x01:9,4x02:11,4x03:9,4x04:8,4x05:6,4x06:11,4x07:21,4x08:20,4x09:10,4x10:9,4x11:8,4x12:11,5x01:7,5x02:4,5x03:15,5x04:9,5x05:11,5x06:7,5x07:5,5x08:8,5x09:6,5x10:4,5x11:6,5x12:7,6x01:11,6x02:9,6x03:11,6x04:10,6x05:5,6x06:2,6x07:34,6x08:16,6x09:8,6x10:20,6x11:7,6x12:17,7x01:10,7x02:14,7x03:24,7x04:20,7x05:32,7x06:23,7x07:27,7x08:29,7x09:21,7x10:13,7x11:9,7x12:24,8x01:15,8x02:20,8x03:15,8x05:20,8x06:33,8x07:21,8x08:21,8x09:13,8x10:22,8x11:14,8x12:11"
