word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
floating,float,VERB,1,1,Thoughts of a Dying Atheist,1.0,False,744
hum,hum,NOUN,1,1,Unravelling,1.0,False,745
happy,happy,ADJ,1,1,Unravelling,1.0,False,746
fingers,finger,NOUN,1,1,Drones,1.0,False,747
thumb,thumb,NOUN,1,1,Drones,1.0,False,748
safety,safety,NOUN,1,1,Drones,1.0,False,749
amen,amen,PROPN,1,1,Drones,1.0,False,750
pulse,pulse,NOUN,1,1,Unravelling,1.0,False,751
ecstasy,ecstasy,NOUN,1,1,Unravelling,1.0,False,752
unlit,unlit,ADJ,1,1,Unravelling,1.0,False,753
ea,ea,NOUN,1,1,Panic Station,1.0,False,754
mother,mother,NOUN,1,1,Drones,1.0,False,755
father,father,NOUN,1,1,Drones,1.0,False,756
sister,sister,NOUN,1,1,Drones,1.0,False,757
brother,brother,NOUN,1,1,Drones,1.0,False,758
son,son,NOUN,1,1,Drones,1.0,False,759
daughter,daughter,NOUN,1,1,Drones,1.0,False,760
contradiction,contradiction,NOUN,1,1,Time Is Running Out,1.0,False,761
friction,friction,NOUN,1,1,Time Is Running Out,1.0,False,762
appea,appea,NOUN,1,1,Panic Station,1.0,False,763
ugh,ugh,NOUN,1,1,Panic Station,1.0,False,764
innocence,innocence,NOUN,1,1,Undisclosed Desires,1.0,False,765
tease,tease,VERB,1,1,Undisclosed Desires,1.0,False,766
revere,revere,VERB,1,1,Dead Inside,1.0,False,767
draw,draw,VERB,1,1,Dead Inside,1.0,False,768
holiness,holiness,NOUN,1,1,Dead Inside,1.0,False,769
clique,clique,NOUN,1,1,Compliance,1.0,False,770
work,work,NOUN,1,1,Compliance,1.0,False,771
loyal,loyal,ADJ,1,1,Compliance,1.0,False,772
hurt,hurt,NOUN,1,1,Compliance,1.0,False,773
flick,flick,VERB,1,1,Uprising,1.0,False,774
trick,trick,VERB,1,1,Undisclosed Desires,1.0,False,775
lovers,lover,NOUN,1,1,Undisclosed Desires,1.0,False,776
wicked,wicked,ADJ,1,1,Undisclosed Desires,1.0,False,777
fatigue,fatigue,NOUN,1,1,Compliance,1.0,False,778
mend,mend,VERB,1,1,Compliance,1.0,False,779
protection,protection,NOUN,1,1,Compliance,1.0,False,780
rejection,rejection,NOUN,1,1,Compliance,1.0,False,781
tracks,track,NOUN,1,1,Compliance,1.0,False,782
chew,chew,VERB,1,1,Compliance,1.0,False,783
controlling,control,VERB,1,1,Compliance,1.0,False,784
floozy,floozy,PROPN,1,1,Propaganda,1.0,False,785
woozy,woozy,NOUN,1,1,Propaganda,1.0,False,786
finger,finger,NOUN,1,1,Propaganda,1.0,False,787
chick,chick,NOUN,1,1,Propaganda,1.0,False,788
ate,eat,VERB,1,1,Propaganda,1.0,False,789
eater,eater,PROPN,1,1,Propaganda,1.0,False,790
minds,mind,NOUN,1,1,Uprising,1.0,False,791
tape,tape,NOUN,1,1,Uprising,1.0,False,792
confined,confine,VERB,1,1,Uprising,1.0,False,793
sinner,sinner,NOUN,1,1,Undisclosed Desires,1.0,False,794
seed,seed,NOUN,1,1,Uprising,1.0,False,795
shines,shin,VERB,1,1,Dead Inside,1.0,False,796
those,those,PRON,1,1,Dead Inside,1.0,True,797
share,share,VERB,1,1,Dead Inside,1.0,False,798
confine,confine,VERB,1,1,Dead Inside,1.0,False,799
died,die,VERB,1,1,Dead Inside,1.0,False,800
dumbed,dumbe,VERB,1,1,Uprising,1.0,False,801
divine,divine,ADJ,1,1,Undisclosed Desires,1.0,False,802
may,may,AUX,1,1,Undisclosed Desires,1.0,True,803
interchanging,interchanging,ADJ,1,1,Uprising,1.0,False,804
elation,elation,NOUN,1,1,Time Is Running Out,1.0,False,805
fixation,fixation,NOUN,1,1,Time Is Running Out,1.0,False,806
