word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
poking,poke,VERB,1,1,The March of the Black Queen,1.0,False,894
pile,pile,NOUN,1,1,The March of the Black Queen,1.0,False,895
against,against,ADP,1,1,Bohemian Rhapsody,1.0,True,896
hide,hide,NOUN,1,1,Death on Two Legs (Dedicated to...),1.0,False,897
troubadours,troubadour,NOUN,1,1,Seven Seas of Rhye,1.0,False,898
null,null,ADJ,1,1,Death on Two Legs (Dedicated to...),1.0,False,899
unemployed,unemployed,ADJ,1,1,Death on Two Legs (Dedicated to...),1.0,False,900
insane,insane,PROPN,1,1,Death on Two Legs (Dedicated to...),1.0,False,901
mighty,mighty,ADJ,1,1,Seven Seas of Rhye,1.0,False,902
pride,pride,NOUN,1,1,Death on Two Legs (Dedicated to...),1.0,False,903
trigger,trigger,NOUN,1,1,Bohemian Rhapsody,1.0,False,904
cesspool,cesspool,NOUN,1,1,Death on Two Legs (Dedicated to...),1.0,False,905
evil,evil,ADJ,1,1,Seven Seas of Rhye,1.0,False,906
decaying,decay,VERB,1,1,Death on Two Legs (Dedicated to...),1.0,False,907
greed,greed,NOUN,1,1,Innuendo,1.0,False,908
rat,rat,NOUN,1,1,Death on Two Legs (Dedicated to...),1.0,False,909
lives,life,NOUN,1,1,Innuendo,1.0,False,910
sewer,sewer,NOUN,1,1,Death on Two Legs (Dedicated to...),1.0,False,911
titan,titan,NOUN,1,1,Seven Seas of Rhye,1.0,False,912
sex,sex,NOUN,1,1,Don’t Stop Me Now,1.0,False,913
reload,reload,VERB,1,1,Don’t Stop Me Now,1.0,False,914
travelling,travel,VERB,1,1,Don’t Stop Me Now,1.0,False,915
rocket,rocket,NOUN,1,1,Don’t Stop Me Now,1.0,False,916
pussycat,pussycat,NOUN,1,1,Killer Queen,1.0,False,917
momentarily,momentarily,ADV,1,1,Killer Queen,1.0,False,918
action,action,NOUN,1,1,Killer Queen,1.0,False,919
temporarily,temporarily,ADV,1,1,Killer Queen,1.0,False,920
stoppin,stoppin,NOUN,1,1,Don’t Stop Me Now,1.0,False,921
less,less,ADJ,1,1,Killer Queen,1.0,True,922
fastidious,fastidious,ADJ,1,1,Killer Queen,1.0,False,923
america,america,PROPN,1,1,Bicycle Race,1.0,False,924
drop,drop,NOUN,1,1,Killer Queen,1.0,False,925
hat,hat,NOUN,1,1,Killer Queen,1.0,False,926
willing,willing,ADJ,1,1,Killer Queen,1.0,False,927
