word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
poke,poke,VERB,1,1,Body Paint,1.0,False,1214
wiring,wiring,NOUN,1,1,Body Paint,1.0,False,1215
weak,weak,ADJ,1,1,Body Paint,1.0,False,1216
young,young,ADJ,1,1,Fake Tales of San Francisco,1.0,False,1217
wayne,wayne,PROPN,1,1,She Looks Like Fun,1.0,False,1218
manor,manor,PROPN,1,1,She Looks Like Fun,1.0,False,1219
key,key,ADJ,1,1,She Looks Like Fun,1.0,False,1220
memorable,memorable,ADJ,1,1,She Looks Like Fun,1.0,False,1221
nye,nye,NOUN,1,1,She Looks Like Fun,1.0,False,1222
respect,respect,VERB,1,1,She Looks Like Fun,1.0,False,1223
cheeseburger,cheeseburger,PROPN,1,1,She Looks Like Fun,1.0,False,1224
arts,art,NOUN,1,1,She Looks Like Fun,1.0,False,1225
snowboarding,snowboarding,PROPN,1,1,She Looks Like Fun,1.0,False,1226
martial,martial,ADJ,1,1,She Looks Like Fun,1.0,False,1227
share,share,VERB,1,1,She Looks Like Fun,1.0,False,1228
strangers,stranger,NOUN,1,1,She Looks Like Fun,1.0,False,1229
waffling,waffle,VERB,1,1,She Looks Like Fun,1.0,False,1230
reasonin,reasonin,NOUN,1,1,The View from the Afternoon,1.0,False,1231
super,super,ADV,1,1,Fake Tales of San Francisco,1.0,False,1232
distance,distance,NOUN,1,1,Fake Tales of San Francisco,1.0,False,1233
fancy,fancy,ADJ,1,1,The View from the Afternoon,1.0,False,1234
limousine,limousine,NOUN,1,1,The View from the Afternoon,1.0,False,1235
bunny,bunny,NOUN,1,1,The View from the Afternoon,1.0,False,1236
devil,devil,ADJ,1,1,The View from the Afternoon,1.0,False,1237
jackpot,jackpot,NOUN,1,1,The View from the Afternoon,1.0,False,1238
fruit,fruit,NOUN,1,1,The View from the Afternoon,1.0,False,1239
machine,machine,NOUN,1,1,The View from the Afternoon,1.0,False,1240
send,send,VERB,1,1,The View from the Afternoon,1.0,False,1241
disco,disco,NOUN,1,1,Fake Tales of San Francisco,1.0,False,1242
bride,bride,NOUN,1,1,Fake Tales of San Francisco,1.0,False,1243
