word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
actual,actual,ADJ,1,1,THE ART OF REALIZATION,1.0,False,1620
talent,talent,NOUN,1,1,Kick It,1.0,False,1621
played,play,VERB,1,1,LIFE AFTER SALEM,1.0,False,1622
bizness,bizness,PROPN,1,1,Kick It,1.0,False,1623
boi,boi,PROPN,1,1,Kick It,1.0,False,1624
tl,tl,PROPN,1,1,Kick It,1.0,False,1625
brother,brother,NOUN,1,1,Kick It,1.0,False,1626
showed,show,VERB,1,1,Kick It,1.0,False,1627
wave,wave,NOUN,1,1,Kick It,1.0,False,1628
tv,tv,NOUN,1,1,Kick It,1.0,False,1629
loving,loving,NOUN,1,1,THATS WHAT I WANT,1.0,False,1630
brain,brain,NOUN,1,1,THATS WHAT I WANT,1.0,False,1631
lovеr,lovеr,PROPN,1,1,LIFE AFTER SALEM,1.0,False,1632
each,each,DET,1,1,LIFE AFTER SALEM,1.0,True,1633
argue,argue,VERB,1,1,THATS WHAT I WANT,1.0,False,1634
shays,shay,NOUN,1,1,Rodeo,1.0,False,1635
teeth,tooth,NOUN,1,1,THATS WHAT I WANT,1.0,False,1636
harder,hard,ADJ,1,1,THATS WHAT I WANT,1.0,False,1637
mily,mily,ADV,1,1,F9mily (You & Me),1.0,False,1638
trick,trick,NOUN,1,1,Bring U Down,1.0,False,1639
sleeve,sleeve,NOUN,1,1,Bring U Down,1.0,False,1640
peepin,peepin,ADJ,1,1,Bring U Down,1.0,False,1641
secret,secret,NOUN,1,1,Bring U Down,1.0,False,1642
warm,warm,ADJ,1,1,THATS WHAT I WANT,1.0,False,1643
sunlight,sunlight,NOUN,1,1,THATS WHAT I WANT,1.0,False,1644
lies,lie,NOUN,1,1,THATS WHAT I WANT,1.0,False,1645
player,player,NOUN,1,1,Rodeo,1.0,False,1646
pods,pod,NOUN,1,1,F9mily (You & Me),1.0,False,1647
peas,pea,NOUN,1,1,F9mily (You & Me),1.0,False,1648
fantasies,fantasy,NOUN,1,1,F9mily (You & Me),1.0,False,1649
afro,afro,NOUN,1,1,THATS WHAT I WANT,1.0,False,1650
eater,eater,NOUN,1,1,HOTBOX,1.0,False,1651
sweat,sweat,VERB,1,1,HOLIDAY (Clean),1.0,False,1652
finessing,finesse,VERB,1,1,Thanos (Blow It),1.0,False,1653
blessings,blessing,NOUN,1,1,Thanos (Blow It),1.0,False,1654
exes,ex,NOUN,1,1,Thanos (Blow It),1.0,False,1655
guessing,guess,VERB,1,1,Thanos (Blow It),1.0,False,1656
stressing,stress,VERB,1,1,Thanos (Blow It),1.0,False,1657
depression,depression,NOUN,1,1,Thanos (Blow It),1.0,False,1658
rejection,rejection,NOUN,1,1,Thanos (Blow It),1.0,False,1659
pumpin,pumpin,NOUN,1,1,HOTBOX,1.0,False,1660
pay,pay,VERB,1,1,HOTBOX,1.0,False,1661
bill,bill,NOUN,1,1,HOTBOX,1.0,False,1662
jig,jig,NOUN,1,1,HOTBOX,1.0,False,1663
stressin,stressin,NOUN,1,1,THATS WHAT I WANT,1.0,False,1664
ear,ear,NOUN,1,1,HOTBOX,1.0,False,1665
bubble,bubble,NOUN,1,1,HOLIDAY (Clean),1.0,False,1666
cuddle,cuddle,VERB,1,1,THATS WHAT I WANT,1.0,False,1667
bottom,bottom,VERB,1,1,HOLIDAY,1.0,True,1668
bass,bass,NOUN,1,1,HOTBOX,1.0,False,1669
jumpin,jumpin,NOUN,1,1,HOTBOX,1.0,False,1670
motherfuckers,motherfucker,NOUN,1,1,HOLIDAY,1.0,False,1671
sext,sext,PROPN,1,1,HOLIDAY,1.0,False,1672
fire,fire,NOUN,1,1,Thanos (Blow It),1.0,False,1673
jack,jack,PROPN,1,1,Thanos (Blow It),1.0,False,1674
thugger,thugger,PROPN,1,1,Thanos (Blow It),1.0,False,1675
corny,corny,NOUN,1,1,Thanos (Blow It),1.0,False,1676
whistleblow,whistleblow,NOUN,1,1,Thanos (Blow It),1.0,False,1677
