word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
burnt,burn,VERB,1,1,Am I Evil?,1.0,False,1412
watched,watch,VERB,1,1,Am I Evil?,1.0,False,1413
revenge,revenge,NOUN,1,1,Am I Evil?,1.0,False,1414
sought,seek,VERB,1,1,Am I Evil?,1.0,False,1415
bread,bread,NOUN,1,1,Am I Evil?,1.0,False,1416
future,future,NOUN,1,1,Fuel,1.0,False,1417
chrome,chrome,NOUN,1,1,Fuel,1.0,False,1418
consciousness,consciousness,PROPN,1,1,Ride the Lightning,1.0,False,1419
doing,do,VERB,1,1,Ride the Lightning,1.0,True,1420
slow,slow,ADV,1,1,Ride the Lightning,1.0,False,1421
healthy,healthy,ADJ,1,1,St. Anger,1.0,False,1422
burned,burn,VERB,1,1,Am I Evil?,1.0,False,1423
thankless,thankless,ADJ,1,1,Am I Evil?,1.0,False,1424
bitch,bitch,NOUN,1,1,Am I Evil?,1.0,False,1425
tears,tear,NOUN,1,1,Am I Evil?,1.0,False,1426
glow,glow,NOUN,1,1,For Whom the Bell Tolls,1.0,False,1427
surely,surely,ADV,1,1,For Whom the Bell Tolls,1.0,False,1428
massive,massive,ADJ,1,1,For Whom the Bell Tolls,1.0,False,1429
shattered,shatter,VERB,1,1,For Whom the Bell Tolls,1.0,False,1430
goal,goal,NOUN,1,1,For Whom the Bell Tolls,1.0,False,1431
ruthless,ruthless,ADJ,1,1,For Whom the Bell Tolls,1.0,False,1432
simply,simply,ADV,1,1,Fade to Black,1.0,False,1433
deathly,deathly,ADV,1,1,Fade to Black,1.0,False,1434
surrenders,surrender,NOUN,1,1,Don’t Tread On Me,1.0,False,1435
showing,show,VERB,1,1,Don’t Tread On Me,1.0,False,1436
fangs,fang,NOUN,1,1,Don’t Tread On Me,1.0,False,1437
shouting,shouting,PROPN,1,1,For Whom the Bell Tolls,1.0,False,1438
grey,grey,NOUN,1,1,For Whom the Bell Tolls,1.0,False,1439
stiffened,stiffened,PROPN,1,1,For Whom the Bell Tolls,1.0,False,1440
test,test,VERB,1,1,For Whom the Bell Tolls,1.0,False,1441
raging,rag,VERB,1,1,For Whom the Bell Tolls,1.0,False,1442
residence,residence,NOUN,1,1,Am I Evil?,1.0,False,1443
longin,longin,ADJ,1,1,Am I Evil?,1.0,False,1444
await,await,VERB,1,1,Am I Evil?,1.0,False,1445
heir,heir,NOUN,1,1,Am I Evil?,1.0,False,1446
avenge,avenge,VERB,1,1,Am I Evil?,1.0,False,1447
sweep,sweep,VERB,1,1,Am I Evil?,1.0,False,1448
begins,begin,VERB,1,1,Don’t Tread On Me,1.0,False,1449
engaged,engage,VERB,1,1,Don’t Tread On Me,1.0,False,1450
strip,strip,VERB,1,1,Am I Evil?,1.0,False,1451
spread,spread,VERB,1,1,Am I Evil?,1.0,False,1452
writhe,writhe,ADJ,1,1,Am I Evil?,1.0,False,1453
steel,steel,NOUN,1,1,Am I Evil?,1.0,False,1454
neat,neat,ADJ,1,1,Am I Evil?,1.0,False,1455
double,double,ADJ,1,1,Am I Evil?,1.0,False,1456
dozen,dozen,NOUN,1,1,Am I Evil?,1.0,False,1457
