word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
shows,show,VERB,1,1,I’m So Happy I Can’t Stop Crying,1.0,False,2000
o.k,o.k.,PROPN,1,1,I’m So Happy I Can’t Stop Crying,1.0,False,2001
forgive,forgive,VERB,1,1,I’m So Happy I Can’t Stop Crying,1.0,False,2002
lawyer,lawyer,NOUN,1,1,I’m So Happy I Can’t Stop Crying,1.0,False,2003
news,news,PROPN,1,1,I’m So Happy I Can’t Stop Crying,1.0,False,2004
joint,joint,ADJ,1,1,I’m So Happy I Can’t Stop Crying,1.0,False,2005
custody,custody,NOUN,1,1,I’m So Happy I Can’t Stop Crying,1.0,False,2006
count,count,VERB,1,1,The Empty Chair,1.0,False,2007
despair,despair,VERB,1,1,The Empty Chair,1.0,False,2008
barely,barely,ADV,1,1,The Empty Chair,1.0,False,2009
roam,roam,VERB,1,1,The Empty Chair,1.0,False,2010
trees,tree,NOUN,1,1,The Empty Chair,1.0,False,2011
