word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
ruby,ruby,PROPN,1,1,Salvatore,1.0,False,1581
looks,look,VERB,1,1,Salvatore,1.0,False,1582
allegiance,allegiance,NOUN,1,1,Cola,1.0,False,1583
teaching,teach,VERB,1,1,Cola,1.0,False,1584
suck,suck,VERB,1,1,Cola,1.0,False,1585
vanilla,vanilla,NOUN,1,1,Cola,1.0,False,1586
icys,icys,NOUN,1,1,Cola,1.0,False,1587
rough,rough,ADJ,1,1,Cola,1.0,False,1588
niceys,niceys,AUX,1,1,Cola,1.0,False,1589
decorate,decorate,VERB,1,1,Cola,1.0,False,1590
friday,friday,PROPN,1,1,Born to Die,1.0,False,1591
divine,divine,ADJ,1,1,Diet Mountain Dew (The Flight Demo),1.0,False,1592
intro,intro,PROPN,1,1,Born to Die,1.0,False,1593
lana,lana,PROPN,1,1,Born to Die,1.0,False,1594
hawaii,hawaii,PROPN,1,1,The greatest,1.0,False,1595
fireball,fireball,NOUN,1,1,The greatest,1.0,False,1596
flames,flame,NOUN,1,1,The greatest,1.0,False,1597
kanye,kanye,PROPN,1,1,The greatest,1.0,False,1598
rey,rey,PROPN,1,1,Born to Die,1.0,False,1599
feet,foot,NOUN,1,1,Born to Die,1.0,False,1600
finish,finish,NOUN,1,1,Born to Die,1.0,False,1601
step,step,NOUN,1,1,Born to Die,1.0,False,1602
gates,gate,NOUN,1,1,Born to Die,1.0,False,1603
walking,walk,VERB,1,1,Born to Die,1.0,False,1604
mistake,mistake,NOUN,1,1,Born to Die,1.0,False,1605
design,design,NOUN,1,1,Born to Die,1.0,False,1606
tangerine,tangerine,NOUN,1,1,Salvatore,1.0,False,1607
working,work,VERB,1,1,Salvatore,1.0,False,1608
tan,tan,PROPN,1,1,Salvatore,1.0,False,1609
happily,happily,ADV,1,1,Salvatore,1.0,False,1610
dennis,dennis,PROPN,1,1,The greatest,1.0,False,1611
